,,,,,,,,,,Sentiment Scores,,,,
source,author,headline,summary,Predicted Label,Sentence Score,,,,Avg Score,-1,-2,-3,-4,-5
ABC News,"Justin Doom, Megan Hughes and Marissa Parra",Trump accuser E. Jean Carroll laughs off his assertion 'she's not my type', I m glad I m not his type E Jean Carroll said after President Donald Trump denied sexually assaulting her,Neutral,-3,,,ABC News,-2.22,7,9,9,2,0
ABC News,Morgan Winsor,Tennessee authorities issue Amber Alert for 15-month-old girl last seen in December,A desperate search is underway in Tennessee for a one five month old girl who authorities say was last seen in December Evelyn Mae Boswell of Sullivan County was entered as a missing child on Tuesday but she was reportedly last seen on Dec two six according to the Tennessee Bureau of Investigation Investigators with the Sullivan County Sheriffs Office and the Tennessee Department of Childrens Services immediately launched an investigation with assistance from the Tennessee Bureau of Investigation and the Federal Bureau of Investigation A statewide Amber Alert has been issued for the little girl,Neutral,-3,,,Al Jazeera English,-2.31,22,26,27,11,0
ABC News,Morgan Winsor and Emily Shapiro,11-year-old Girl Scout killed by fallen tree in 'freak accident' at campground,A Girl Scout was killed and three other people were injured on Monday when a tree fell on a campground in Indiana officials said,Neutral,-4,,,BBC News,-2.07,102,74,50,33,1
ABC News,William Mansel,Woman killed in New Orleans during Mardi Gras parade after being hit by float,A marine lab built to withstand hurricanes faces a slower menace climate change Problems arising wherever science operates at the shifting border of soil and sea,Liberal,-3,,,Breitbart News,-2.24,98,130,90,42,4
ABC News,Julia Jacobo,"Mom, 2 young children found dead in home may have been murdered: Police",A mum has revealed how shes already managed to complete all of her Christmas shopping months before the festive holiday,Liberal,-1,,,CBS News,-2.18,33,30,25,10,2
ABC News,Julia Jacobo,Pilot who crashed helicopter onto NYC building 'did not know where he was': Report,A police report says the singer allegedly struck a security guard in a row at a Florida hotel,Liberal,-2,,,CNN,-2.38,81,90,94,49,3
ABC News,Emily Shapiro,2nd firefighter found dead in powerful California library fire allegedly started by 13-year-olds,A seismologist with the US Geological Survey said the activity is probably related just to the ongoing tectonic stress that builds up ,Liberal,-2,,,Daily Mail,-2.12,22,11,7,9,1
ABC News,Aaron Katersky,Staten Island man expected to plead guilty in NCAA fixing scheme,A strange message with a one stacked on top of another one mysteriously popped up on Samsung Galaxy devices this week It was all cleared up but not before causing some confusion Smartphone owners reported on a Samsung help board Wednesday that they d gotten the one notification from their Find My Mobile app which helps users track their phone s location Customers reported that the message disappeared when tapped The South Korean tech company said later that the message went out by mistake and that it wasn t harmful ,Liberal,-2,,,Fox News,-2.21,115,119,105,46,0
ABC News,Karma Allen,"VA whistleblower notified of termination day before congressional testimony, she says",An employee of the Department of Veterans Affairs said she was notified of her firing a day before she was set to testify before Congress,Neutral,-1,,,Huffington Post,-2.39,6,2,7,3,0
