summary	Translation	Positive	Negative	EmotionRationale
 A classified briefing to lawmakers angered the president who complained that Democrats would weaponize the disclosure	 A classified briefing to lawmakers angered the president who complained that Democrats would weaponize the disclosure	1	-4	 A[0] classified[0] briefing[0] to[0] lawmakers[0] angered[-3] the[0] president[0] who[0] complained[-1] that[0] Democrats[0] would[0] weaponize[-1][--1 LastWordBoosterStrength] the[0] disclosure[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 Jurors weighing rape and sexual assault charges against former movie producer Harvey Weinstein began their third day of deliberations in criminal court in Manhattan on Thursday The seven men and five women began their discussions Tuesday They have taken a methodical approach in their deliberations during their first two days asking to review testimony and evidence relating to two of his accusers Weinstein six seven has pleaded not guilty to sexually assaulting the production assistant Mimi Haleyi in two zero zero six and raping Jessica Mann a former aspiring actress in two zero one three Since two zero one seven more than eight zero women have accused Weinstein of sexual misconduct fueling the MeToo movement Weinstein whose films include The English Patient and Shakespeare in Love has denied the allegations and said any sexual encounters were consensual 	 Jurors weighing rape and sexual assault charges against former movie producer Harvey Weinstein began their third day of deliberations in criminal court in Manhattan on Thursday The seven men and five women began their discussions Tuesday They have taken a methodical approach in their deliberations during their first two days asking to review testimony and evidence relating to two of his accusers Weinstein six seven has pleaded not guilty to sexually assaulting the production assistant Mimi Haleyi in two zero zero six and raping Jessica Man a former aspiring actress in two zero one three Since two zero one seven more than eight zero women have accused Weinstein of sexual misconduct fueling the MeToo movement Weinstein whose films include The English Patient and Shakespeare in Love has denied the allegations and said any sexual encounters were consensual	4	-4	 Jurors[0] weighing[0] rape[-3] and[0] sexual[0] assault[-2] charges[-1] against[-1] former[0] movie[0] producer[0] Harvey[0] Weinstein[0] began[0] their[0] third[0] day[0] of[0] deliberations[0] in[0] criminal[-1] court[0] in[0] Manhattan[0] on[0] Thursday[0] The[0] seven[0] men[0] and[0] five[0] women[0] began[0] their[0] discussions[0] Tuesday[0] They[0] have[0] taken[0] a[0] methodical[0] approach[0] in[0] their[0] deliberations[0] during[0] their[0] first[0] two[0] days[0] asking[0] to[0] review[0] testimony[0] and[0] evidence[0] relating[0] to[0] two[0] of[0] his[0] accusers[-1] Weinstein[0] six[0] seven[0] has[0] pleaded[0] not[0] guilty[-3][NegatedDueToPreviousWord] to[0] sexually[0] assaulting[-2] the[0] production[0] assistant[0] Mimi[0] Haleyi[0] in[0] two[0] zero[0] zero[0] six[0] and[0] raping[-3] Jessica[0] Mann/Man[0] a[0] former[0] aspiring[0] actress[0] in[0] two[0] zero[0] one[0] three[0] Since[0] two[0] zero[0] one[0] seven[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
 Omar Hajajla may have a private gateway to his home in the Israeli occupied West Bank but it is hardly a sign of luxury it runs beneath an Israeli barrier that cuts him and his family off from the rest of their nearby Palestinian village Israel began building its West Bank barrier in two zero zero two at the height of a Palestinian uprising saying it aimed to stop attacks by bombers and gunmen in its cities	 Omar Hajajla may have a private gateway to his home in the Israeli occupied West Bank but it is hardly a sign of luxury it runs beneath an Israeli barrier that cuts him and his family off from the rest of their nearby Palestinian village Israel began building its West Bank barrier in two zero zero two at the height of a Palestinian uprising saying it aimed to stop attacks by bombers and gunmen in its cities	1	-3	 Omar[0] Hajajla[0] may[0] have[0] a[0] private[0] gateway[0] to[0] his[0] home[0] in[0] the[0] Israeli[0] occupied[0] West[0] Bank[0] but[0] it[0] is[0] hardly[0] a[0] sign[0] of[0] luxury[0] it[0] runs[0] beneath[0] an[0] Israeli[0] barrier[-1] that[0] cuts[0] him[0] and[0] his[0] family[0] off[0] from[0] the[0] rest[0] of[0] their[0] nearby[0] Palestinian[0] village[0] Israel[0] began[0] building[0] its[0] West[0] Bank[0] barrier[-1] in[0] two[0] zero[0] zero[0] two[0] at[0] the[0] height[0] of[0] a[0] Palestinian[0] uprising[-1] saying[0] it[0] aimed[0] to[0] stop[0] attacks[-2] by[0] bombers[-1] and[0] gunmen[-1] in[0] its[0] cities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 On the national level President Donald Trump is appointing judges by the dozens to positions on US federal courts ensuring a conservative tilt for a generation But on the local level a small group of progressive state prosecutors have been elected and they have big ideas about criminal justice reform	 On the national level President Donald Trump is appointing judges by the dozens to positions on US federal courts ensuring a conservative tilt for a generation But on the local level a small group of progressive state prosecutors have been elected and they have big ideas about criminal justice reform	1	-2	 On[0] the[0] national[0] level[0] President[0] Donald[0] Trump[0] is[0] appointing[0] judges[0] by[0] the[0] dozens[0] to[0] positions[0] on[0] US[0] federal[0] courts[0] ensuring[0] a[0] conservative[0] tilt[0] for[0] a[0] generation[0] But[0] on[0] the[0] local[0] level[0] a[0] small[0] group[0] of[0] progressive[0] state[0] prosecutors[-1] have[0] been[0] elected[0] and[0] they[0] have[0] big[0] ideas[0] about[0] criminal[-1] justice[0] reform[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 President Donald Trumps long time adviser Roger Stone is set to be sentenced on Thursday after being convicted on charges including lying to a congressional panel investigating Russian interference in the two zero one six US election in a case that has roiled the Justice Department and drawn Trumps ire US District Judge Amy Berman Jackson is scheduled to sentence Stone whose career as a Republican operative has stretched from the Watergate scandal era of the early one nine seven zero s to Trumps campaign four years ago at one zero am EST one five zero zero GMT in Washington	 President Donald Trumps long time adviser Roger Stone is set to be sentenced on Thursday after being convicted on charges including lying to a congressional panel investigating Russian interference in the two zero one six US election in a case that has roiled the Justice Department and drawn Trumps ire US District Judge Amy Berman Jackson is scheduled to sentence Stone whose career as a Republican operative has stretched from the Watergate scandal era of the early one nine seven zero s to Trumps campaign four years ago at one zero am EST one five zero zero GMT in Washington	1	-4	 President[0] Donald[0] Trumps[0] long[0] time[0] adviser[0] Roger[0] Stone[0] is[0] set[0] to[0] be[0] sentenced[0] on[0] Thursday[0] after[0] being[0] convicted[-1] on[0] charges[-1] including[0] lying[-3] to[0] a[0] congressional[0] panel[0] investigating[0] Russian[0] interference[-1] in[0] the[0] two[0] zero[0] one[0] six[0] US[0] election[0] in[0] a[0] case[0] that[0] has[0] roiled[0] the[0] Justice[0] Department[0] and[0] drawn[0] Trumps[0] ire[0] US[0] District[0] Judge[0] Amy[0] Berman[0] Jackson[0] is[0] scheduled[0] to[0] sentence[0] Stone[0] whose[0] career[0] as[0] a[0] Republican[0] operative[0] has[0] stretched[0] from[0] the[0] Watergate[0] scandal[-2] era[0] of[0] the[0] early[0] one[0] nine[0] seven[0] zero[0] s[0] to[0] Trumps[0] campaign[0] four[0] years[0] ago[0] at[0] one[0] zero[0] am[0] EST[0] one[0] five[0] zero[0] zero[0] GMT[0] in[0] Washington[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 Everybody else out there is just a lot of noise Sheindlin said in an exclusive interview with CBS News	 Everybody else out there is just a lot of noise Sheindlin said in an exclusive interview with CBS News	1	-1	 Everybody[0] else[0] out[0] there[0] is[0] just[0] a[0] lot[0] of[0] noise[0] Sheindlin[0] said[0] in[0] an[0] exclusive[0] interview[0] with[0] CBS[0] News[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 I had hoped to spotlight Beijings deepening assault on international efforts to uphold human rights The refusal to let me enter Hong Kong vividly illustrates the problem HRWs executive director said	 I had hoped to spotlight Beijings deepening assault on international efforts to uphold human rights The refusal to let me enter Hong Kong vividly illustrates the problem HRWs executive director said	2	-3	 I[0] had[0] hoped[1] to[0] spotlight[0] Beijings[0] deepening[0] assault[-2] on[0] international[0] efforts[0] to[0] uphold[0] human[0] rights[0] The[0] refusal[-1] to[0] let[0] me[0] enter[0] Hong[0] Kong[0] vividly[0] illustrates[0] the[0] problem[-1] HRWs[0] executive[0] director[0] said[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 I may have been a victim that night but I am not a victim for the rest of my life said veteran foreign correspondent Lara Logan describing the mindset that she adopted in the aftermath of a brutal attack and rape by a mob in Cairos Tahrir Square in two zero one one 	 I may have been a victim that night but I am not a victim for the rest of my life said veteran foreign correspondent Lara Logan describing the mindset that she adopted in the aftermath of a brutal attack and rape by a mob in Cairos Tahrir Square in two zero one one	3	-4	 I[0] may[0] have[0] been[0] a[0] victim[-2] that[0] night[0] but[0] I[0] am[0] not[0] a[0] victim[-2][NegatedDueToPreviousWord] for[0] the[0] rest[0] of[0] my[0] life[0] said[0] veteran[0] foreign[-1] correspondent[0] Lara[0] Logan describing[0] the[0] mindset[0] that[0] she[0] adopted[0] in[0] the[0] aftermath[0] of[0] a[0] brutal[-2] attack[-2][-1 MultiplePositiveWords] and[0] rape[-3] by[0] a[0] mob[0] in[0] Cairos[0] Tahrir[0] Square[0] in[0] two[0] zero[0] one[0] one[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 I m calling from the US I m currently on a call with my friend he had a seizure and hes not responding anymore two zero year old Dia Lathora from Texas told Cheshire police in England over the phone 	 I m calling from the US I m currently on a call with my friend he had a seizure and hes not responding anymore two zero year old Dia Lathora from Texas told Cheshire police in England over the phone	2	-1	 I[0] m[0] calling[0] from[0] the[0] US[0] I[0] m[0] currently[0] on[0] a[0] call[0] with[0] my[0] friend[1] he[0] had[0] a[0] seizure[0] and[0] hes[0] not[0] responding[0] anymore[0] two[0] zero[0] year[0] old[0] Dia[0] Lathora[0] from[0] Texas[0] told[0] Cheshire[0] police[0] in[0] England[0] over[0] the[0] phone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 I m glad I m not his type E Jean Carroll said after President Donald Trump denied sexually assaulting her	 I m glad I m not his type E Jean Carroll said after President Donald Trump denied sexually assaulting her	2	-3	 I[0] m[0] glad[1] I[0] m[0] not[0] his[0] type[0] E[0] Jean[0] Carroll[0] said[0] after[0] President[0] Donald[0] Trump[0] denied[-1] sexually[0] assaulting[-2] her[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
